	FIPS_CTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON
38	73	1	0	0	2	21	35	6	0
38	75	0	0	0	1	2	18	0	0
38	77	0	4	1	9	54	209	23	0
38	79	0	0	0	2	15	17	8	0
38	81	0	0	0	0	8	13	0	0
38	83	0	0	0	0	6	28	3	0
38	85	0	0	0	0	0	0	0	0
38	87	0	0	0	0	1	1	0	0
38	89	0	0	3	44	29	416	31	1
38	91	0	1	0	0	5	1	1	0
38	93	0	15	0	21	91	349	33	4
38	95	0	1	0	3	10	26	4	0
38	97	0	0	0	2	16	44	3	1
38	99	0	5	0	17	30	170	16	1
38	101	0	25	6	93	127	718	117	7
38	103	0	3	1	6	22	45	1	4
38	105	1	17	2	89	92	793	172	5
38	777	12	25	10	197	150	227	112	23
39	1	0	3	3	13	234	296	17	2
39	3	8	73	120	358	1042	2646	132	25
39	5	0	15	4	16	316	785	18	4
39	7	2	12	17	63	507	1158	61	6
39	9	0	12	21	21	372	1125	28	4
39	11	0	1	3	15	90	324	10	0
39	13	0	5	3	25	248	580	42	3
39	15	0	0	2	6	127	279	6	1
39	17	10	194	305	897	3621	11081	421	96
39	19	0	1	0	56	80	157	17	5
39	21	1	3	4	26	229	677	27	6
39	23	5	45	182	174	1753	3708	213	93
39	25	2	34	32	89	1240	4158	118	30
39	27	0	7	4	11	133	764	15	2
39	29	2	8	7	22	296	810	35	3
39	31	0	0	5	15	301	611	11	3
39	33	0	4	7	23	350	682	20	2
39	35	99	489	3719	2277	12781	21517	4681	367
39	37	0	6	12	53	338	712	37	3
39	39	0	17	4	13	142	651	9	4
39	41	2	32	59	45	797	2334	100	23
39	43	6	13	35	89	577	1743	47	9
39	45	4	47	108	79	951	3178	142	57
39	47	0	6	16	23	365	843	30	5
39	49	80	644	3296	1291	16769	34668	3783	587
39	51	1	8	1	24	158	549	17	3
39	53	2	5	10	12	323	686	21	2
39	55	3	5	5	21	117	353	13	2
39	57	3	51	63	73	829	3470	118	12
39	59	3	9	16	41	286	544	33	4
39	61	58	296	2077	1156	8318	23723	1601	443
39	63	0	21	21	45	382	1517	32	5
39	65	0	4	6	8	268	550	11	5
39	67	0	5	1	4	61	112	13	0
39	69	2	12	3	10	171	538	19	3
39	71	0	7	5	44	326	758	40	5
39	73	3	5	6	6	205	501	12	2
39	75	0	4	2	2	71	270	15	1
39	77	0	3	6	9	190	494	32	1
39	79	1	3	5	20	229	664	29	2
39	81	0	3	5	23	91	212	10	2
39	83	1	7	8	26	229	980	0	0
39	85	1	54	102	261	637	3194	132	19
39	87	1	13	20	81	388	1000	77	6
39	89	0	87	66	384	1087	3618	151	55
39	91	0	20	7	22	409	923	24	1
39	93	5	53	175	182	2196	3263	192	50
39	95	40	184	1192	2122	7618	3320	1529	547
39	97	1	4	10	21	266	559	39	6
39	99	25	60	311	456	2855	4970	436	283
39	101	2	20	71	43	1283	2057	57	16
39	103	4	19	15	108	290	1365	22	1
39	105	1	6	5	8	177	182	16	1
39	107	1	9	1	10	133	548	11	8
39	109	1	17	35	13	561	2340	78	20
39	111	0	2	0	2	42	57	0	1
39	113	32	251	933	925	5833	12696	1261	218
39	115	0	1	0	11	50	94	5	0
39	117	2	7	4	12	260	465	23	3
39	119	3	35	55	74	647	2349	123	19
39	121	0	0	0	0	0	0	0	0
39	123	0	1	5	7	152	502	14	1
39	125	0	3	1	6	63	120	0	1
39	127	0	2	2	8	48	218	4	2
39	129	1	11	19	32	725	1400	38	9
39	131	3	3	5	7	88	310	19	6
39	133	0	16	48	71	872	2275	47	17
39	135	2	7	1	29	271	667	34	0
39	137	1	6	2	6	41	125	12	0
39	139	3	45	115	81	1833	3884	152	58
39	141	0	24	35	91	1006	2812	111	10
39	143	0	5	16	90	353	1146	26	1
39	145	0	15	49	45	770	2046	114	23
39	147	0	4	6	12	207	330	11	2
39	149	0	10	18	46	362	1119	38	14
39	151	13	126	583	417	3773	7549	719	98
39	153	27	256	656	1105	4547	11196	997	145
39	155	5	43	168	269	2163	3941	274	26
39	157	1	8	10	25	275	685	48	5
39	159	0	6	1	6	65	186	9	2
39	161	0	4	1	17	181	513	5	3
39	163	2	3	2	7	141	195	12	1
39	165	0	38	46	101	797	3144	67	31
39	167	0	12	4	25	283	564	28	4
39	169	2	30	18	32	550	1273	72	18
39	171	0	7	1	10	139	432	28	5
39	173	1	29	19	63	464	2083	66	9
39	175	0	3	1	5	29	127	3	0
40	1	1	7	1	60	156	157	20	7
40	3	0	0	0	7	13	30	2	0
40	5	1	3	0	9	116	124	13	3
40	7	0	1	0	10	25	50	4	0
40	9	1	3	1	33	125	328	37	3
40	11	0	2	1	20	66	109	12	2
40	13	1	17	9	204	366	865	76	2
40	15	1	8	3	102	178	286	35	8
40	17	7	51	107	403	1200	2956	460	20
40	19	4	42	37	368	450	1327	109	23
40	21	0	6	6	81	265	657	58	4
40	23	0	5	4	32	91	134	19	9
40	25	0	0	0	0	1	2	0	0
40	27	13	116	210	571	2383	6949	908	40
40	29	0	2	0	6	22	49	5	1
40	31	13	42	174	729	1702	3616	330	42
40	33	0	0	0	1	8	21	1	0
40	35	1	3	0	10	45	128	27	6
40	37	4	21	16	113	341	757	116	16
40	39	1	12	3	69	138	331	41	1
40	41	1	5	0	67	165	441	48	4
40	43	0	0	0	6	15	31	6	0
40	45	0	0	0	5	10	26	4	0
40	47	2	30	21	117	517	1456	102	13
40	49	0	8	10	53	221	410	43	17
40	51	1	21	13	146	443	853	93	9
40	53	0	0	0	2	22	28	4	0
40	55	0	1	1	7	10	25	4	1
40	57	1	0	2	6	34	56	3	0
40	59	0	0	0	0	16	7	3	0
40	61	0	2	2	28	44	94	14	4
40	63	0	2	3	7	50	100	25	1
40	65	1	10	11	50	237	490	27	3
40	67	0	0	0	3	17	25	9	0
40	69	1	1	0	15	17	46	4	1
40	71	0	29	33	106	323	1143	70	16
40	73	0	1	0	6	33	131	9	1
40	75	0	4	4	11	98	141	13	2
40	77	0	1	0	14	22	48	17	5
40	79	1	14	5	110	356	587	68	8
40	81	1	4	2	63	275	373	55	6
40	83	0	5	4	35	231	483	48	7
40	85	0	1	1	11	29	89	5	0
40	87	0	5	10	45	322	710	103	5
40	89	0	9	10	134	311	689	63	14
40	91	1	9	1	27	126	282	35	3
40	93	0	1	0	8	46	120	6	0
40	95	2	4	0	37	35	81	15	1
40	97	2	7	2	101	221	373	60	5
40	99	1	6	2	19	78	131	16	3
40	101	3	34	41	593	878	1324	142	23
40	103	0	4	0	16	52	120	13	3
40	105	0	1	1	20	53	103	15	0
40	107	1	0	0	19	126	213	22	6
40	109	83	398	1137	3630	10118	23238	4163	145
40	111	1	4	7	62	268	630	72	14
40	113	1	18	20	90	358	593	89	17
40	115	0	4	5	77	207	583	38	5
40	117	1	5	4	30	59	116	16	2
40	119	2	35	26	118	467	1706	96	10
40	121	0	29	17	64	449	981	77	11
40	123	3	25	11	156	292	740	77	0
40	125	4	32	22	279	659	1645	240	3
40	127	0	5	0	18	79	97	21	7
40	129	0	0	1	4	3	36	2	0
40	131	0	32	11	117	313	745	105	16
40	133	2	6	4	18	271	487	56	8
40	135	0	11	2	95	239	587	43	12
40	137	3	19	19	97	441	1018	70	4
40	139	0	6	6	24	77	312	22	7
40	141	0	1	2	24	68	108	5	4
40	143	45	381	1122	2928	7291	15582	2702	263
40	145	2	16	24	143	378	997	83	12
40	147	2	15	16	109	375	949	73	7
40	149	0	3	0	17	55	81	21	1
40	151	0	0	0	6	20	83	4	1
40	153	0	8	1	49	154	353	52	1
40	777	4	10	39	145	307	1336	177	41
41	1	0	0	1	0	20	53	3	0
41	3	1	19	18	58	322	1460	59	19
41	5	9	97	133	165	1603	7037	749	41
41	7	0	1	11	14	150	601	47	4
41	9	0	14	6	52	177	602	61	7
41	11	1	5	15	94	410	1534	88	4
41	13	0	4	1	53	95	332	7	1
41	15	0	2	3	13	104	268	25	7
41	17	0	49	43	292	821	3607	187	65
41	19	1	35	37	71	658	2349	187	29
41	21	0	0	0	1	5	9	2	1
41	23	0	0	0	1	10	40	2	3
41	25	1	0	0	3	48	126	5	2
41	27	0	2	3	22	37	129	16	1
41	29	4	76	82	499	1029	6491	317	71
41	31	1	6	6	6	113	368	35	11
41	33	1	15	57	154	713	1978	208	17
41	35	2	22	38	88	319	945	140	22
41	37	0	4	0	19	7	14	3	0
41	39	7	126	260	448	2622	10062	860	120
41	41	0	19	16	132	320	973	60	17
41	43	0	25	42	73	708	2822	211	18
41	45	0	12	5	66	195	816	30	0
41	47	12	74	172	505	1814	7759	1112	67
41	49	1	2	1	12	80	167	17	2
41	51	24	287	1170	2177	5621	27569	4482	293
41	53	1	18	28	134	379	1598	162	16
41	55	0	1	0	1	6	34	2	0
41	57	0	5	2	7	137	382	17	5
41	59	4	14	18	74	569	1756	290	15
41	61	0	13	2	23	188	526	30	7
41	63	2	0	0	0	14	37	0	1
41	65	2	4	11	19	161	629	43	3
41	67	10	163	219	480	1652	8171	567	82
41	69	0	0	0	3	0	0	0	0
41	71	4	25	22	76	546	1456	98	24
41	777	4	11	2	99	121	220	49	19
42	1	6	14	7	87	263	905	50	11
42	3	81	125	1732	3105	5727	19160	1167	408
42	5	0	14	9	43	177	428	29	3
42	7	6	36	84	417	632	3048	129	14
42	9	2	77	2	42	182	400	34	7
42	11	21	94	481	776	2462	6058	797	45
42	13	6	44	38	233	386	1644	80	24
42	15	0	25	5	61	284	880	55	15
42	17	6	75	216	345	2121	9748	466	58
42	19	3	12	48	147	440	1853	64	13
42	21	6	30	47	235	649	1803	94	9
42	23	0	4	2	3	45	52	2	2
42	25	3	13	17	138	352	953	36	8
42	27	1	32	27	92	355	1800	42	26
42	29	14	114	174	525	1423	5972	258	38
42	31	2	28	3	27	137	486	24	6
42	33	0	37	12	198	325	1454	43	19
42	35	0	13	2	34	143	562	17	4
42	37	3	23	9	50	306	1189	25	6
42	39	1	12	16	52	413	972	34	16
42	41	0	42	69	71	614	3163	80	18
42	43	18	154	527	724	1533	5404	288	56
42	45	30	89	849	1932	2309	9745	602	59
42	47	1	4	2	18	133	517	12	15
42	49	11	93	223	368	1808	5332	211	36
42	51	3	45	99	165	830	2206	153	63
42	53	2	4	0	27	83	71	4	3
42	55	5	35	47	126	494	1927	79	16
42	57	0	1	1	16	54	131	5	4
42	59	2	9	15	50	186	553	38	9
42	61	1	27	2	48	149	377	17	4
42	63	5	29	16	240	310	990	53	10
42	65	1	15	6	44	140	319	16	7
42	67	0	6	2	9	79	127	14	1
42	69	0	35	165	296	1023	3352	187	47
42	71	15	113	331	420	1723	8235	347	49
42	73	4	14	93	343	635	1401	73	13
42	75	3	25	64	200	381	2077	79	12
42	77	21	92	478	331	1925	7098	597	41
42	79	17	88	233	562	1661	5892	354	55
42	81	2	27	81	102	515	1925	78	25
42	83	0	17	3	79	178	558	19	8
42	85	2	32	70	154	645	1946	69	9
42	87	0	10	4	59	138	835	22	3
42	89	4	50	95	517	1202	3185	99	19
42	91	11	108	509	767	2325	12120	494	99
42	93	0	8	1	42	66	185	7	6
42	95	9	46	196	332	961	4586	192	21
42	97	3	21	6	182	317	1042	62	12
42	99	0	8	9	58	174	501	25	14
42	101	332	881	7984	8669	12004	38595	6401	0
42	103	0	17	17	36	429	616	30	8
42	105	1	10	0	14	89	89	12	0
42	107	4	38	34	224	446	1760	93	28
42	109	0	10	11	81	134	508	16	3
42	111	2	11	8	80	209	561	28	14
42	113	0	1	0	18	44	50	4	0
42	115	2	21	16	15	210	271	24	9
42	117	0	8	1	39	221	350	39	5
42	119	1	10	5	16	138	344	9	1
42	121	3	22	5	39	125	665	20	2
42	123	1	16	6	88	149	567	29	3
42	125	5	49	91	261	731	2748	140	38
42	127	2	21	6	33	263	569	28	17
42	129	6	74	118	366	1000	4093	192	63
42	131	0	7	1	20	99	274	25	2
42	133	17	104	303	670	1313	7055	293	70
44	1	0	6	11	24	146	562	17	6
44	3	3	36	38	127	693	2803	196	31
44	5	1	14	20	106	452	1544	68	21
44	7	30	222	632	1310	4292	11939	2280	114
44	9	1	14	14	48	346	1627	68	10
44	777	0	0	0	0	0	2	2	0
45	1	0	5	12	111	216	496	25	13
45	3	13	53	108	370	1618	4344	571	6
45	5	0	1	4	32	151	176	14	3
45	7	18	55	157	914	2438	6372	835	36
45	9	0	2	21	85	231	415	41	2
45	11	5	4	33	169	349	691	74	10
45	13	12	48	146	716	1299	3522	219	26
45	15	16	64	134	527	1425	4061	513	62
45	17	0	6	9	56	221	269	50	2
45	19	26	95	348	1031	1876	8817	891	38
45	21	3	14	20	138	338	584	97	3
45	23	2	12	25	156	389	867	60	2
45	25	2	14	21	183	362	1219	84	10
45	27	1	10	31	147	352	904	82	11
45	29	2	14	26	246	419	1151	194	14
45	31	10	17	70	410	1178	2471	217	11
45	33	8	17	48	291	595	1206	105	12
45	35	8	42	129	429	973	3223	414	13
45	37	2	6	7	36	147	337	37	3
45	39	4	8	15	129	211	607	68	5
45	41	6	38	133	448	1466	4214	361	10
45	43	4	14	31	239	710	1527	125	6
45	45	20	189	451	2078	4000	11148	1254	67
45	47	7	39	73	676	965	2564	122	12
45	49	0	7	18	102	203	336	27	17
45	51	21	201	416	1151	3158	10088	1073	57
45	53	9	14	25	29	201	547	62	8
45	55	2	30	26	299	663	1333	124	4
45	57	13	26	68	299	884	2146	115	22
45	59	6	31	49	394	734	1600	119	13
45	61	0	4	18	112	255	511	66	8
45	63	12	81	156	709	1500	5487	636	19
45	65	0	2	4	28	56	106	20	0
45	67	8	12	51	231	771	1060	92	12
45	69	3	20	32	296	408	1074	67	5
45	71	1	4	22	143	264	763	40	5
45	73	5	32	17	332	662	1456	157	13
45	75	13	32	117	214	1353	2713	486	23
45	77	9	34	41	369	1017	3346	333	12
45	79	24	184	809	2622	4965	12511	2087	51
45	81	0	4	6	80	160	250	28	1
45	83	10	104	233	908	2450	6573	633	54
45	85	12	30	103	685	1611	2713	346	54
45	87	2	9	20	128	270	776	31	8
45	89	4	11	39	145	440	785	116	17
45	91	10	70	167	922	1090	4480	327	31
46	3	0	0	0	0	6	10	1	0
46	5	0	9	0	34	67	370	21	0
46	7	0	1	0	8	2	15	4	1
46	9	0	0	0	0	1	1	0	0
46	11	0	0	0	10	11	134	3	2
46	13	0	23	1	48	99	411	30	3
46	15	0	3	0	8	18	74	8	0
46	17	0	0	0	0	0	0	0	0
46	19	0	12	0	15	44	123	2	1
46	21	0	0	0	0	2	4	2	1
46	23	1	3	0	9	29	43	2	1
46	25	0	0	0	0	3	9	0	0
46	27	0	6	2	27	45	241	14	0
46	29	0	14	2	53	132	428	30	2
46	31	0	0	0	1	14	6	4	0
46	33	0	1	0	4	8	21	4	0
46	35	0	19	3	36	62	364	24	3
46	37	0	0	0	0	0	0	0	0
46	39	2	1	0	0	15	14	4	0
46	41	0	0	0	2	4	1	0	2
46	43	0	0	0	0	0	0	0	0
46	45	0	0	0	0	0	0	1	0
46	47	0	0	0	6	8	12	5	0
46	49	0	0	0	1	0	2	0	0
46	51	0	0	0	0	0	0	0	0
46	53	0	0	0	0	0	0	0	0
46	55	0	0	0	0	0	0	0	0
46	57	0	1	0	3	17	29	2	0
46	59	0	0	0	4	3	12	0	0
46	61	0	1	0	1	1	2	0	0
46	63	0	0	0	1	0	0	0	0
46	65	4	17	3	36	69	436	31	3
46	67	0	0	0	3	8	8	3	0
46	69	0	0	0	0	0	0	0	0
46	71	0	0	0	3	5	2	1	0
46	73	0	0	0	0	1	3	1	0
46	75	0	0	0	0	0	0	0	0
46	77	0	0	0	0	0	0	0	0
46	79	1	2	0	2	15	72	5	0
46	81	0	10	0	23	66	585	15	0
46	83	0	25	10	86	244	752	67	11
46	85	0	0	0	0	0	0	0	0
46	87	0	1	0	2	11	25	3	0
46	89	0	0	0	0	0	2	0	0
46	91	0	6	0	9	11	24	5	0
46	93	0	5	0	16	36	201	11	0
46	95	0	0	0	2	6	9	2	0
46	97	0	0	1	0	6	2	0	0
46	99	2	139	60	391	863	3595	271	54
46	101	0	4	0	8	10	73	4	1
46	103	5	143	55	312	716	3149	258	21
46	105	0	0	0	0	2	8	1	0
46	107	0	0	0	2	0	0	1	0
46	109	0	0	0	21	16	67	10	0
46	111	0	0	0	0	0	0	0	0
46	113	0	0	0	0	0	0	0	0
46	115	0	4	0	6	7	31	4	3
46	117	0	2	0	3	18	15	0	0
46	119	0	0	0	0	0	1	0	0
46	121	0	0	0	0	0	0	0	0
46	123	0	0	0	6	7	14	4	0
46	125	0	0	0	9	23	18	7	0
46	127	0	0	0	6	18	87	5	0
46	129	0	2	1	7	10	67	6	0
46	135	0	20	3	31	84	448	28	2
46	137	0	0	0	1	3	2	1	2
46	777	14	106	16	587	303	527	128	108
47	1	3	26	37	193	646	1540	178	17
47	3	1	19	16	140	236	658	33	2
47	5	0	3	1	37	94	220	23	1
47	7	0	0	1	10	22	74	9	1
47	9	3	38	43	348	987	2066	162	6
47	11	1	38	54	519	681	2409	160	7
47	13	1	19	25	105	591	996	59	20
47	15	0	0	0	31	60	106	26	1
47	17	0	3	3	62	174	366	24	4
47	19	4	5	7	81	435	994	83	5
47	21	1	7	9	117	211	609	68	2
47	23	0	2	0	41	110	162	12	1
47	25	1	4	13	158	369	425	51	9
47	27	0	0	0	14	42	46	10	0
47	29	3	4	24	191	483	1033	89	15
47	31	2	7	17	219	356	1183	69	4
47	33	1	11	2	81	81	171	15	0
47	35	2	18	22	201	581	1292	96	14
47	37	65	312	1753	5309	5875	20373	1418	100
47	39	0	1	3	53	97	162	25	1
47	41	2	1	9	54	159	361	28	5
47	43	4	17	3	151	328	1008	51	9
47	45	0	9	23	231	387	1084	50	3
47	47	1	4	11	63	126	292	27	2
47	49	1	4	4	36	116	339	19	3
47	51	4	13	5	97	222	564	39	5
47	53	0	7	21	227	367	812	49	9
47	55	1	10	13	85	210	441	19	4
47	57	0	5	2	31	105	340	28	1
47	59	5	15	41	213	626	1402	128	14
47	61	3	4	1	115	157	167	63	12
47	63	0	17	58	217	374	1955	112	12
47	65	26	91	560	1619	3405	10133	1216	37
47	67	0	2	0	17	47	132	8	1
47	69	4	3	11	130	225	376	54	8
47	71	1	11	12	101	282	586	50	6
47	73	1	13	14	109	399	1070	89	7
47	75	0	7	10	131	226	396	26	5
47	77	1	8	10	159	204	544	43	3
47	79	1	8	12	79	293	684	31	0
47	81	0	5	3	50	170	229	28	0
47	83	0	0	1	22	35	65	15	1
47	85	0	0	0	37	74	234	8	1
47	87	0	0	2	33	83	131	17	3
47	89	3	12	26	117	399	957	68	5
47	91	2	5	2	80	96	169	38	2
47	93	25	150	612	1536	4205	12733	1372	46
47	95	0	0	2	23	28	56	4	4
47	97	2	9	16	147	420	472	41	4
47	99	2	9	8	160	363	823	51	12
47	101	0	3	4	33	52	230	20	3
47	103	2	6	6	143	196	573	27	4
47	105	0	7	16	94	290	783	59	2
47	107	0	18	37	216	483	1426	136	13
47	109	0	4	5	122	153	378	42	2
47	111	0	2	0	65	56	149	26	1
47	113	13	33	196	882	1300	2604	180	27
47	115	0	1	4	83	116	380	46	1
47	117	1	7	1	96	152	313	23	6
47	119	5	28	45	385	518	1640	80	11
47	121	2	9	1	41	75	166	36	4
47	123	5	3	10	179	337	882	98	13
47	125	12	60	104	812	1171	3265	230	29
47	127	0	0	0	4	20	65	4	0
47	129	2	5	4	69	161	270	31	1
47	131	0	11	12	87	220	828	35	9
47	133	1	3	2	59	119	167	13	5
47	135	0	1	1	21	33	66	8	1
47	137	0	2	0	3	11	45	7	0
47	139	4	1	2	43	115	210	41	0
47	141	0	21	34	271	711	2075	123	6
47	143	0	4	8	107	201	483	74	1
47	145	1	12	13	106	467	908	75	13
47	147	3	20	53	190	305	1036	67	5
47	149	6	93	195	954	1694	5162	396	14
47	151	2	4	1	48	171	357	31	3
47	153	0	3	3	52	114	287	38	7
47	155	1	30	44	237	1364	2529	206	8
47	157	135	483	3512	8224	14011	30620	3233	435
47	159	0	6	4	39	135	228	27	2
47	161	1	1	3	36	61	94	13	4
47	163	3	56	70	777	1077	4129	299	37
47	165	2	31	41	423	674	2327	108	31
47	167	5	19	32	202	368	901	87	5
47	169	0	3	1	29	31	118	5	0
47	171	0	0	1	31	59	323	23	3
47	173	2	7	9	44	237	403	47	13
47	175	0	1	0	12	15	89	5	0
47	177	1	16	9	125	262	718	74	7
47	179	1	20	60	427	1004	2943	157	23
47	181	1	2	0	41	46	93	8	3
47	183	2	3	4	108	194	555	26	4
47	185	1	6	6	97	169	518	51	5
47	187	2	24	28	204	372	1853	82	13
47	189	4	17	44	329	569	1855	160	5
48	1	3	22	23	169	427	847	93	7
48	3	1	20	0	71	78	258	18	0
48	5	5	29	53	247	789	2223	108	11
48	7	1	11	4	44	229	595	32	5
48	9	0	0	0	12	27	54	15	0
48	11	0	0	0	1	14	11	3	0
48	13	3	3	8	62	372	837	50	1
48	15	1	7	5	43	142	322	27	1
48	17	1	1	1	7	77	106	6	0
48	19	0	5	0	18	45	67	10	0
48	21	0	51	20	184	505	1205	98	8
48	23	0	0	0	6	11	38	2	1
48	25	2	3	5	50	82	271	24	2
48	27	17	140	348	812	2792	6589	335	51
48	29	101	649	2038	5047	18580	69589	7155	336
48	31	0	1	0	19	48	76	5	0
48	33	0	0	0	1	3	2	1	0
48	35	0	3	0	11	68	118	7	3
48	37	7	33	88	454	1073	2541	241	27
48	39	8	66	91	323	1551	4488	289	28
48	41	5	67	109	670	1287	4322	164	24
48	43	0	1	0	9	34	87	9	1
48	45	0	0	0	0	0	2	1	0
48	47	1	2	0	11	44	91	2	4
48	49	3	18	10	108	214	935	30	5
48	51	1	7	2	14	61	125	14	0
48	53	0	15	8	52	213	585	45	3
48	55	0	21	15	107	223	523	40	2
48	57	0	15	3	90	191	359	29	5
48	59	0	0	2	14	42	55	8	0
48	61	13	98	237	732	3092	13186	476	73
48	63	0	5	3	28	106	226	7	4
48	65	0	2	0	3	16	32	6	1
48	67	2	11	8	71	298	376	41	1
48	69	0	0	1	7	72	143	10	0
48	71	0	10	18	69	267	622	94	4
48	73	2	33	25	195	436	903	102	8
48	75	0	0	1	28	36	56	7	0
48	77	1	0	2	1	61	17	5	0
48	79	0	3	0	3	49	63	10	0
48	81	0	0	0	0	7	16	0	0
48	83	0	0	2	13	135	129	9	1
48	85	11	183	394	674	3489	12879	919	64
48	87	0	0	0	0	0	0	0	0
48	89	4	13	2	42	120	255	22	0
48	91	3	41	29	245	558	2104	131	9
48	93	0	2	1	21	75	205	10	1
48	95	0	0	0	6	4	1	0	0
48	97	1	7	13	68	257	675	40	5
48	99	3	14	25	99	397	819	21	21
48	101	0	0	0	0	3	2	0	0
48	103	0	1	0	8	13	33	1	0
48	105	0	0	0	0	0	0	0	0
48	107	0	1	1	3	27	17	3	0
48	109	0	0	1	0	4	3	0	0
48	111	1	4	1	23	51	120	9	1
48	113	165	706	4889	5227	25141	59144	10235	692
48	115	0	11	2	13	86	205	25	0
48	117	0	1	6	26	98	260	25	6
48	119	0	0	1	7	66	52	10	2
48	121	10	156	331	680	3084	10732	972	79
48	123	0	10	5	87	124	290	21	1
48	125	0	0	0	2	9	4	0	0
48	127	0	4	2	45	167	249	22	4
48	129	0	0	0	10	12	18	4	0
48	131	1	0	5	80	105	171	65	5
48	133	0	3	6	33	170	214	17	1
48	135	5	44	163	956	1090	3571	516	26
48	137	0	0	0	1	6	18	2	0
48	139	6	11	44	162	722	2616	152	18
48	141	28	220	507	2485	2361	15563	1354	118
48	143	0	11	3	43	217	661	31	3
48	145	1	4	4	24	70	86	2	2
48	147	4	18	3	40	180	366	25	2
48	149	1	2	3	19	90	176	14	1
48	151	0	0	0	6	34	30	2	0
48	153	1	2	1	18	41	67	8	5
48	155	0	0	0	2	1	0	0	0
48	157	8	88	417	1102	3070	7179	714	41
48	159	0	2	1	7	45	49	11	0
48	161	1	1	6	39	165	172	21	3
48	163	0	2	4	17	146	217	6	3
48	165	2	3	2	14	59	136	10	0
48	167	7	105	271	439	2049	6549	466	39
48	169	0	0	0	0	19	35	2	0
48	171	0	5	4	11	60	270	13	0
48	173	0	0	0	1	3	9	1	0
48	175	0	3	2	5	39	74	3	0
48	177	2	15	4	83	166	351	25	1
48	179	0	2	6	103	269	609	35	4
48	181	3	32	48	228	1013	2511	237	14
48	183	7	72	145	382	1241	3834	395	19
48	185	1	7	8	85	187	339	42	0
48	187	2	67	31	177	601	2271	127	10
48	189	2	7	10	57	243	794	24	5
48	191	0	0	0	5	17	25	5	0
48	193	0	2	2	11	59	59	5	1
48	195	0	0	3	16	20	56	11	1
48	197	0	0	0	0	48	64	1	0
48	199	3	7	12	63	192	625	90	5
48	201	307	1143	12449	16290	43644	114208	20829	1153
48	203	3	12	20	198	597	971	72	8
48	205	0	2	0	14	32	59	5	1
48	207	0	0	0	11	30	46	4	0
48	209	4	47	37	267	799	2467	177	7
48	211	0	0	0	18	16	44	6	0
48	213	2	48	18	226	657	1262	172	7
48	215	30	202	474	1879	6465	22631	1421	171
48	217	1	10	12	71	265	581	20	5
48	219	1	16	9	74	223	418	11	3
48	221	1	3	3	61	171	857	54	5
48	223	0	4	3	55	104	231	22	1
48	225	1	0	1	33	131	237	26	2
48	227	3	20	12	158	303	908	54	7
48	229	0	0	0	2	11	18	1	0
48	231	1	21	65	306	869	1825	169	10
48	233	0	20	5	116	184	489	21	5
48	235	0	0	0	2	16	18	0	0
48	237	0	6	0	21	39	99	14	1
48	239	0	0	0	18	47	145	8	0
48	241	2	32	7	94	201	554	21	1
48	243	0	0	1	1	4	4	0	0
48	245	20	114	554	1106	3147	6454	519	99
48	247	1	0	0	1	2	4	0	0
48	249	13	17	7	253	467	1089	93	14
48	251	5	64	49	274	937	2584	196	22
48	253	0	3	8	35	120	320	18	2
48	255	2	1	1	21	98	281	21	2
48	257	2	33	35	178	718	1366	181	7
48	259	1	18	4	18	118	469	21	0
48	261	0	3	1	2	5	4	4	0
48	263	0	0	0	3	5	7	1	0
48	265	2	12	8	53	221	754	37	6
48	267	0	0	1	7	23	44	2	0
48	269	0	0	0	0	0	0	0	0
48	271	0	0	0	0	2	1	0	0
48	273	1	5	18	134	370	960	20	4
48	275	0	0	0	5	7	25	1	0
48	277	5	10	37	127	441	1267	42	0
48	279	1	1	5	32	119	246	18	4
48	281	0	11	2	24	87	303	5	5
48	283	0	0	1	12	13	29	1	3
48	285	0	2	1	30	130	199	17	1
48	287	0	5	3	45	91	226	12	0
48	289	1	4	1	9	94	112	22	0
48	291	1	18	36	291	544	1587	196	13
48	293	2	10	7	63	246	380	46	6
48	295	0	0	0	0	3	9	0	0
48	297	0	4	1	21	84	110	20	11
48	299	0	1	0	8	134	253	11	11
48	301	0	0	0	0	0	2	0	0
48	303	12	139	328	1664	3400	9224	828	52
48	305	0	1	0	5	29	64	2	1
48	307	0	0	0	11	57	95	6	1
48	309	9	115	218	676	2237	6380	286	63
48	311	0	0	0	3	9	27	7	0
48	313	0	2	5	13	58	119	23	0
48	315	1	9	5	60	115	144	13	4
48	317	0	1	0	8	14	45	2	1
48	319	0	0	0	1	7	24	0	0
48	321	1	11	19	90	290	770	23	5
48	323	3	4	4	156	512	993	42	1
48	325	1	17	4	57	134	425	25	2
48	327	0	0	0	4	2	0	0	1
48	329	5	22	54	374	700	2728	216	9
48	331	2	1	6	44	145	421	20	2
48	333	0	0	0	1	14	28	1	1
48	335	0	0	0	33	83	114	3	2
48	337	0	4	2	20	109	356	26	0
48	339	12	49	221	569	2349	6227	681	17
48	341	1	8	2	43	103	373	27	4
48	343	0	1	4	53	114	179	4	2
48	345	0	0	0	0	10	15	1	0
48	347	1	24	30	159	430	1358	67	5
48	349	0	30	37	116	579	1230	56	1
48	351	0	0	0	1	23	37	6	0
48	353	0	27	10	94	143	345	19	1
